,tweet_id,tweet_text,clean_text
0,1203119662285746176,Has anyone ever been to the bacchanal buffet at the Caesars? ? I wanna know y’all thoughtsssss,Has anyone ever been to the bacchanal buffet at the Caesars? ? I wanna know y’all thoughtsssss
1,1203126636574580737,Y'all ever been to Jinya Ramen Bar? People really wait in line outside for 30 minutes to get inside to pay $20 for ramen noodles.,Y'all ever been to Jinya Ramen Bar? People really wait in line outside for 30 minutes to get inside to pay $20 for ramen noodles.
2,1203161284478418944,The Ghost Horse Challenge Syndicated is alive and strong in Las Vegas!  Great dinner last night at Lotus of Siam.  Heading into the George Strait concert now. Syndicate party tomorrow night at Mandalay Bay. https://t.co/YlZEfdylhz,The Ghost Horse Challenge Syndicated is alive and strong in Las Vegas!  Great dinner last night at Lotus of Siam.  Heading into the George Strait concert now. Syndicate party tomorrow night at Mandalay Bay. 
3,1203193687460601856,"Made the (delicious) mistake of re-watching this video on the Bacchanal buffet in Vegas, and now I want to go back ? @askthvytnn @missEllaineouss 

https://t.co/EsWRtVaOLu","Made the (delicious) mistake of re-watching this video on the Bacchanal buffet in Vegas, and now I want to go back ?   

"
4,1203336679647563776,@Dansgaming The Bacchanal Buffet at Caesars is fantastic, The Bacchanal Buffet at Caesars is fantastic
5,1203337196989583361,"@Dansgaming Buffet at Wynn, Bacchanal Buffet at Caesars, or for a different take on the buffet, the Wicked Spoon at the Cosmopolitan are all good choices. Eat well and see you next week!"," Buffet at Wynn, Bacchanal Buffet at Caesars, or for a different take on the buffet, the Wicked Spoon at the Cosmopolitan are all good choices. Eat well and see you next week!"
6,1203337939607883777,@Dansgaming Buffet at the  Aria is nice., Buffet at the  Aria is nice.
7,1203375799317024768,Best Ramen around Town I legit can't think of a better place. #JinyaRamen @jinyaramenbar Hot Spicy Chicken Ramen then Stream afterwards! Come by and show me some lovins https://t.co/Y9Ya8OPiG2,Best Ramen around Town I legit can't think of a better place. #JinyaRamen  Hot Spicy Chicken Ramen then Stream afterwards! Come by and show me some lovins 
8,1203407472762867712,@PoppaPhill @jinyaramenbar Ugh Im hungry and this is the 1st thing I see ?,  Ugh Im hungry and this is the 1st thing I see ?
9,1203407771087060994,"Lunch outing with the nephew. (at @JinyaRamenBar in Sandy Springs, GA) https://t.co/7DSqkI4wUH","Lunch outing with the nephew. (at  in Sandy Springs, GA) "
10,1203419871113097219,@jinyaramenbar satisfied everytime we come by ? eventually I’ll bring a pillow because I get sleepy after eating ?? @vonntheartist https://t.co/vkZ9TDt9vi, satisfied everytime we come by ? eventually I’ll bring a pillow because I get sleepy after eating ??  
11,1203449249809063936,I checked in at JINYA Ramen Bar on #Yelp https://t.co/gPaJVGA4yI,I checked in at JINYA Ramen Bar on #Yelp 
12,1203449437898428416,The M buffet or bacchanal https://t.co/9unXeT4vme,The M buffet or bacchanal 
13,1203486795452731393,"I have an big announcement. I went to Guy Fieri's restaurant in Las Vegas and I got a turkey burger with Donkey Sauce and a bloody Mary. It was exactly what I expected. Massive portions, tons of flavor and very mediocre. https://t.co/eoVctfNT7b","I have an big announcement. I went to Guy Fieri's restaurant in Las Vegas and I got a turkey burger with Donkey Sauce and a bloody Mary. It was exactly what I expected. Massive portions, tons of flavor and very mediocre. "
14,1203515159777402880,I’m going to @jinyaramenbar and none of you can stop me!,I’m going to  and none of you can stop me!
