,review_id,restaurant_id,user_id,rating,review_text,timestamp,useful,funny,cool
0,qm97yMwREr7BKkexlwLFbg,Gyrez6K8f1AyR7dzW9fvAw,TTRVdTXKcq-xn6-1IWbwEw,5.0,their pettuccine was fresh-made in the morning. it was very delicate and yummy! the owner and staffs are super kind and delightful. We also had Veal piccata. it was classic! love this restaurant.,2013-12-28 22:28:08,0,0,1
1,QSe9EqmiImbguDVIraX_rg,z9aXGRH8xtqpNDFE5_I3KA,II8eB5mYk200GW-m-wpsug,4.0,received a  mailer and thought okay let's go. walked in on a Monday afternoon greeted by a bartender wearing a cute  t shirt that said the bar and below that the baby. how cute however never got her name. looked over menu asked what was good she said the club. so ordered it and  yes it is good. had a beer a club on white toast served with fries and watched sport center. really felt at ease there and good music playing. will go back again.,2015-06-21 00:56:28,0,0,0
2,l7KB334CXThAcmZPOvF1zw,Gyrez6K8f1AyR7dzW9fvAw,N6zhXHPIrCXommDEg0Rw3g,2.0,"Normally, I give a restaurant at least 3 stars as long as it has good food. However, our group was quite disappointed with this restaurant. Granted, we were expecting a lot from an Italian restaurant in the Venetian, but I also think those are fine expectations to have when eating at these prices.

First, we changed our reservation, and they said they could accommodate the time. Clearly, they shouldn't have. We were seated at a folding table in the hallway next to the restaurant, quite literally in the food court next to a kiosk selling trinkets to tourists. Whatever ambiance this restaurant might offer is a mystery to me. They shouldn't have switched the reservation if it wasn't possible to accommodate the change (our fault, wouldn't blame them). I know they threw a table together as our table and chairs looked different from the rest of the ones set up. A few were just in front of the restaurant but not off to the side like ours was.

I expected to pay a lot in the Venetian, but I expected to be blown away. I would have preferred dining at several places we walked at on the way to this one. I paid $17 for spaghetti carbonara. It was very tasty, a well-balanced sauce with a decent amount of pancetta. However, I finished the whole thing. I can't finish an entree at Olive Garden for the same price. I also ate a few pieces of bread. One of my friends ordered a chicken kabob (who knows why that's sold at an Italian restaurant). It was one single kabob with perhaps 4-5 pieces of chicken and 4-5 vegetables on a bed of rice and it cost $25! Absolutely outrageous. 

To top it off, we told the waiter we were celebrating a birthday. He said ok, so I expected we would receive a dessert, as is customary. We received nothing. Of course, our waiter didn't seem keen on giving us the time of day so I don't know why I expected him to remember a birthday.",2017-01-02 03:48:03,3,1,1
3,2ofBIfK5Bx6SPo3K5_ITCw,a0v7Si0DK4cIko7AQY4YXg,IZPYIYdr05FvjKva2986aw,5.0,"Go. Seriously. You will not be disappointed one bit!

We were craving breakfast food and decided to check this place out. We shared a skillet and a few breakfast sides, each of which were cooked to perfection and super tasty. The atmosphere here is cute, clean, and just what you want for enjoying your breakfast. 

What really made our day being here was our awesome server, Tina. She was so cool, upbeat, easy to talk with, and was the most accommodating server you could ever hope to have. We plan on returning for more good eats and to see Tina again. :)",2018-04-27 18:31:23,2,0,1
4,48a4A2YXYOWrHuA5Lk-eQw,A4zLP5AyKEEHQr_dWEZKig,i8O9HI9mZZI1MRK2LrJmFA,4.0,"I was very skeptical about this spot. 
First it's almost impossible to find good authentic legit spots on the Las Vegas strip for exotic cuisines- hispanic, Asian middle eastern, etc. If you want one, go off the strip. 

second A place that proudly serves ""Middle eastern"" and also ""Greek"" food usually misses those authentic flavors. For example serving Jewish Latkes, Israeli/middle eastern humus, and Greek moussaka is usually just too much for a fusion. 

And yet, the food was tasty! Even tough it wasn't 100% loyal to the original flavors or shapes of the Middle East the food was yummy! And I do have to give them a round of applause for their hummus. Simply really good! 
The lamb shawarma was also good.
And branzino fish with labaneh was on point. 

Even though our hostess did a terrible job, our server was lovely. 

So bottom line. Worth visiting. A solid 4 stars spot. 
Trust me. I know food.",2017-01-02 05:07:16,0,0,0
5,jslZnOFu2Oa-2MZ7Ud1O8g,4aAf2nAr86lcDHzqWSaYuQ,Y55SXa5jxkT-O6wdafenHg,4.0,"If you like thin greasy pizza, then Alexander's Pizza is good for you. The $6 large pizza is a nice deal, and I do admit the flavor is marginally better than Caesar's $5 pizza. The only problem was how sparse the cheese was and the cardboard box the pizza sat in was literally soaking WET from being drenched in oil. 

Alexander's pizza also serves Italian and Greek entree meals. The pizza was disappointing, but their homemade (?) ranch dressing is out of this world! It's creamy, thick, and very nicely seasoned to go with their surprisingly fresh salads. Their ranch dressing really is superb and the family that runs this place seem very nice. Not the friendliest bunch of people, but you can tell their honest and work hard.",2010-10-05 21:28:31,0,0,0
6,mIC79GhouzgavgP-iVndYw,-iFvYhgysvjkxckCr42NRw,wh8jUmiIPIcQ31TwY2Pm5w,4.0,"Great Parathas. A little pricey. The service could be better. But, going into an Indian fast-food place, I had a very low expectation. The place wasn't so clean, but oh well. The food made up for it. We went back three times during our 6 days trip to Vegas.",2014-06-11 14:47:19,0,0,0
7,UkYpJci9F7wHrN2zX_F2VA,z2CVPfaG8C_rydUZCcsqbw,DIdq2t1_ra6g5JcexYHuOQ,5.0,"The tonkatsu ramen with black garlic oil, nori, and extra tamago is amazing. Definitely add the black garlic oil, it's a must! Everything here is prepared fresh and from scratch. It's definitely worth coming back to. Customer service is excellent and we truly loved our experience. The chefs are super helpful and they really care about their customers. It's a simple place with a small menu but their ramen is delicious. The noodles are freshly made as well as their pork. The soft boiled egg is perfectly made and isn't overly seasoned. I would recommend coming here.",2017-12-02 18:07:39,1,0,0
8,0ZHXbGl9o3fuynuTDV1BJA,_j2EtQtgLuXGRBfbM5YwZA,kdDTqKBbfNZeKEbWAcqZWQ,4.0,"Located at the Venetian Hotel in Las Vegas. Great service, fast or slow depending on how busy it is. I ordered beef/broccoli, chicken chow mein soft noodles, & a small wonton soup. I didn't like the green bell pepper in the chow mein (next time I will order without it). Today, I ordered a noodle soup with chicken and vegetables. Definitely, hit the spot. I added some soy sauce and chili for flavor. One of my favorite chinese restaurants'.",2018-08-14 04:23:18,0,0,0
9,PQ5PAzyj9PubNXQdXam28w,sOYsxYYFl03PhHmz_rBDZQ,HTTn15w4c5Yfp4YzrZqd3g,5.0,My husband brought me here for our 2nd year anniversary and I love the ambience of this place.  That includes the music and environment.  The food was amazing.  We ordered the truffle fries and it was great!!!  I ordered the spicy seafood pasta and my husband ordered the amazing chicken and rice au gratin.  The cocktails were awesome and we had a great night.  The service was fast and the waiter was very pleasant to talk to.  It wasn't pricey either which was a surprise given the amazing service there.  This is a definite go!,2013-12-28 21:38:44,2,1,1
10,eD6_jtZ4mEVk9HU0gO0BLg,Os1n1_idfw9vv9kwULGJnQ,0SZYtW-UV4l8LNkBYH5ZUA,4.0,this hawaiian/korean restaurant brought me back to the local cuisine of  hawaii. I ordered the meat jun combo plate and it was good. the soy dipping sauce for the meat jun should be bottled and sold in markets. deifinitely stopping by to try the other items on the menu. The ALOHA spirit is deifinitely alive and well in las vegas..thanks to RUSSEL.,2011-10-27 16:00:12,0,0,0
11,DKNez1ioOrthmejmocpZfA,k2b3niokS_tosjah_rzCPw,qGXvT48u3qyi5qwjXATqZA,1.0,"So....they changed their prices. One star because the girl at the counter was sweet. I used to get the grilled chicken pasta for 9.00 and now it's 15.00! I can't afford to go back. I think loyalty supercedes trying to make an extra buck. Be loyal to your customers and they will return. I would have been sympathetic to a dollar more, but that's too high a jump. The pasta is good, but not Olive Garden in California  great. I'll never understand why food tastes better in Cali.",2016-05-07 02:24:45,0,0,0
12,WEUl6a11EXHqEChS3egV9g,Os1n1_idfw9vv9kwULGJnQ,JaqcCU3nxReTW2cBLHounA,4.0,"Good food all around. The meal begins with complimentary sides as most Korean restaurants are known for. In addition to the usual sprouts, kimchi, etc. Island Style also gives you boiled peanuts which were a nice touch. I went wth cold noodles half and half for my meal. I really liked the dish, with each side offering a nice taste. I wish it could have been spicier but in the end I was contently full and very happy with my choice. $14 for the dining experience was well worth it. The restaurant itself had a very mom and pop feel and seemed authentic in every aspect. A very good option for eating in the area.",2017-01-14 22:05:48,0,0,0
